#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,SEASON
1.0,Stephen Curry,GSW,63.0,34.2,32.0,10.4,21.7,48.2,5.3,12.7,42.1,5.7,6.3,91.6,0.5,5.0,5.5,5.8,1.2,0.1,3.4,29.4,2020-21
2.0,Bradley Beal,WAS,60.0,35.8,31.3,11.2,23.0,48.5,2.2,6.2,34.9,6.8,7.7,88.9,1.2,3.5,4.7,4.4,1.2,0.4,3.1,26.1,2020-21
3.0,Damian Lillard,POR,67.0,35.8,28.8,9.0,19.9,45.1,4.1,10.5,39.1,6.7,7.2,92.8,0.5,3.7,4.2,7.5,0.9,0.3,3.0,27.2,2020-21
4.0,Joel Embiid,PHI,51.0,31.1,28.5,9.0,17.6,51.3,1.1,3.0,37.7,9.2,10.7,85.9,2.2,8.4,10.6,2.8,1.0,1.4,3.1,31.0,2020-21
5.0,Giannis Antetokounmpo,MIL,61.0,33.0,28.1,10.3,18.0,56.9,1.1,3.6,30.3,6.5,9.5,68.5,1.6,9.4,11.0,5.9,1.2,1.2,3.4,33.2,2020-21
6.0,Luka Doncic,DAL,66.0,34.3,27.7,9.8,20.5,47.9,2.9,8.3,35.0,5.2,7.1,73.0,0.8,7.2,8.0,8.6,1.0,0.5,4.3,29.0,2020-21
7.0,Zach LaVine,CHI,58.0,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,0.6,4.4,5.0,4.9,0.8,0.5,3.5,24.7,2020-21
8.0,Zion Williamson,NOP,61.0,33.2,27.0,10.4,17.0,61.1,0.2,0.6,29.4,6.0,8.7,69.8,2.7,4.5,7.2,3.7,0.9,0.6,2.7,27.5,2020-21
9.0,Kyrie Irving,BKN,54.0,34.9,26.9,10.2,20.1,50.6,2.8,7.0,40.2,3.7,4.0,92.2,1.0,3.8,4.8,6.0,1.4,0.7,2.4,27.1,2020-21
10.0,Jayson Tatum,BOS,64.0,35.8,26.4,9.5,20.6,45.9,2.9,7.6,38.6,4.6,5.3,86.8,0.8,6.6,7.4,4.3,1.2,0.5,2.7,25.3,2020-21
11.0,Donovan Mitchell,UTA,53.0,33.4,26.4,9.0,20.6,43.8,3.4,8.7,38.6,5.0,6.0,84.5,0.9,3.5,4.4,5.2,1.0,0.3,2.8,22.1,2020-21
12.0,Nikola Jokic,DEN,72.0,34.6,26.4,10.2,18.0,56.6,1.3,3.3,38.8,4.8,5.5,86.8,2.8,8.0,10.8,8.3,1.3,0.7,3.1,35.9,2020-21
13.0,Devin Booker,PHX,67.0,33.9,25.6,9.3,19.2,48.4,1.9,5.5,34.0,5.1,5.9,86.7,0.5,3.7,4.2,4.3,0.8,0.2,3.1,21.3,2020-21
14.0,Trae Young,ATL,63.0,33.7,25.3,7.7,17.7,43.8,2.2,6.3,34.3,7.7,8.7,88.6,0.6,3.3,3.9,9.4,0.8,0.2,4.1,24.6,2020-21
15.0,De'Aaron Fox,SAC,58.0,35.1,25.2,9.1,19.1,47.7,1.8,5.5,32.2,5.2,7.2,71.9,0.6,2.9,3.5,7.2,1.5,0.5,3.0,22.8,2020-21
16.0,Kawhi Leonard,LAC,52.0,34.1,24.8,8.9,17.5,51.2,1.9,4.9,39.8,5.0,5.7,88.5,1.1,5.4,6.5,5.2,1.6,0.4,2.0,27.3,2020-21
17.0,Jaylen Brown,BOS,58.0,34.5,24.7,9.3,19.2,48.4,2.8,7.1,39.7,3.3,4.3,76.4,1.2,4.8,6.0,3.4,1.2,0.6,2.7,22.2,2020-21
18.0,Collin Sexton,CLE,60.0,35.3,24.3,8.8,18.4,47.5,1.6,4.4,37.1,5.2,6.4,81.5,1.0,2.2,3.1,4.4,1.0,0.2,2.8,19.4,2020-21
19.0,Julius Randle,NYK,71.0,37.6,24.1,8.5,18.6,45.6,2.3,5.5,41.1,4.9,6.0,81.1,1.2,9.0,10.2,6.0,0.9,0.3,3.4,26.8,2020-21
20.0,Brandon Ingram,NOP,61.0,34.3,23.8,8.4,18.0,46.6,2.3,6.1,38.1,4.6,5.2,87.8,0.6,4.3,4.9,4.9,0.7,0.6,2.5,22.0,2020-21
21.0,Nikola Vucevic,CHI,70.0,33.5,23.4,9.5,19.9,47.7,2.5,6.3,40.0,1.9,2.2,84.0,2.1,9.6,11.7,3.8,0.9,0.7,1.8,28.0,2020-21
22.0,Paul George,LAC,54.0,33.7,23.3,8.2,17.6,46.7,3.2,7.7,41.1,3.7,4.2,86.8,0.8,5.8,6.6,5.2,1.1,0.4,3.3,23.5,2020-21
23.0,Jerami Grant,DET,54.0,33.9,22.3,7.4,17.3,42.9,2.1,6.1,35.0,5.4,6.4,84.5,0.6,4.0,4.6,2.8,0.6,1.1,2.0,18.6,2020-21
24.0,Russell Westbrook,WAS,65.0,36.4,22.2,8.4,19.0,43.9,1.3,4.2,31.5,4.2,6.4,65.6,1.7,9.9,11.5,11.7,1.4,0.4,4.8,29.6,2020-21
25.0,DeMar DeRozan,SAS,61.0,33.7,21.6,7.5,15.1,49.5,0.3,1.2,25.7,6.3,7.2,88.0,0.7,3.6,4.2,6.9,0.9,0.2,2.0,23.5,2020-21
26.0,Jimmy Butler,MIA,52.0,33.6,21.5,7.0,14.2,49.7,0.5,2.0,24.5,6.9,8.0,86.3,1.8,5.1,6.9,7.1,2.1,0.3,2.1,27.6,2020-21
27.0,Pascal Siakam,TOR,56.0,35.8,21.4,7.8,17.2,45.5,1.3,4.4,29.7,4.4,5.4,82.7,1.7,5.5,7.2,4.5,1.1,0.7,2.3,22.3,2020-21
28.0,Malcolm Brogdon,IND,56.0,34.5,21.2,7.9,17.5,45.3,2.6,6.7,38.8,2.7,3.2,86.4,1.0,4.2,5.3,5.9,0.9,0.3,2.1,21.4,2020-21
29.0,Terry Rozier,CHA,69.0,34.5,20.4,7.4,16.4,45.0,3.2,8.3,38.9,2.4,2.9,81.7,0.7,3.7,4.4,4.2,1.3,0.4,1.9,19.2,2020-21
30.0,Khris Middleton,MIL,68.0,33.4,20.4,7.5,15.8,47.6,2.2,5.4,41.4,3.1,3.5,89.8,0.8,5.2,6.0,5.4,1.1,0.1,2.6,21.8,2020-21
31.0,Domantas Sabonis,IND,62.0,36.0,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,2.4,9.5,12.0,6.7,1.2,0.5,3.4,29.1,2020-21
32.0,Fred VanVleet,TOR,52.0,36.5,19.6,6.5,16.7,38.9,3.3,9.2,36.6,3.3,3.7,88.5,0.6,3.6,4.2,6.3,1.7,0.7,1.8,20.0,2020-21
33.0,Tobias Harris,PHI,62.0,32.5,19.5,7.6,14.9,51.2,1.3,3.4,39.4,2.9,3.3,89.2,1.0,5.8,6.8,3.5,0.9,0.8,1.7,22.2,2020-21
34.0,Anthony Edwards,MIN,72.0,32.1,19.3,7.0,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,0.8,3.8,4.7,2.9,1.1,0.5,2.2,15.7,2020-21
35.0,Ja Morant,MEM,63.0,32.6,19.1,6.8,15.2,44.9,1.2,3.8,30.3,4.3,5.9,72.8,0.9,3.1,4.0,7.4,0.9,0.2,3.2,18.4,2020-21
36.0,Michael Porter Jr.,DEN,61.0,31.3,19.0,7.3,13.4,54.2,2.8,6.3,44.5,1.7,2.2,79.1,1.5,5.8,7.3,1.1,0.7,0.9,1.3,21.2,2020-21
37.0,Bam Adebayo,MIA,64.0,33.5,18.7,7.1,12.5,57.0,0.0,0.1,25.0,4.4,5.5,79.9,2.2,6.7,9.0,5.4,1.2,1.0,2.6,26.1,2020-21
38.0,Norman Powell,POR,69.0,32.0,18.6,6.3,13.3,47.7,2.5,6.0,41.1,3.4,3.9,87.1,0.6,2.5,3.1,1.9,1.2,0.3,1.7,15.8,2020-21
39.0,Andrew Wiggins,GSW,71.0,33.3,18.6,7.1,14.9,47.7,2.0,5.2,38.0,2.4,3.4,71.4,1.2,3.7,4.9,2.4,0.9,1.0,1.8,17.2,2020-21
40.0,Jordan Clarkson,UTA,68.0,26.7,18.4,6.7,15.8,42.5,3.1,8.8,34.7,1.9,2.1,89.6,0.7,3.3,4.0,2.5,0.9,0.1,1.7,14.9,2020-21
41.0,Jrue Holiday,MIL,59.0,32.3,17.7,7.0,13.9,50.3,1.9,4.8,39.2,1.8,2.3,78.7,1.2,3.3,4.5,6.1,1.6,0.6,2.2,21.0,2020-21
42.0,John Collins,ATL,63.0,29.3,17.6,6.8,12.2,55.6,1.3,3.3,39.9,2.7,3.2,83.3,1.9,5.5,7.4,1.2,0.5,1.0,1.3,20.5,2020-21
43.0,RJ Barrett,NYK,72.0,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,0.9,4.8,5.8,3.0,0.7,0.3,1.9,16.2,2020-21
44.0,Darius Garland,CLE,54.0,33.1,17.4,6.7,14.9,45.1,1.9,4.9,39.5,2.1,2.4,84.8,0.4,2.0,2.4,6.1,1.2,0.1,3.0,15.7,2020-21
45.0,Dillon Brooks,MEM,67.0,29.8,17.2,6.4,15.4,41.9,1.9,5.6,34.4,2.4,2.9,81.5,0.8,2.1,2.9,2.3,1.2,0.4,1.8,12.7,2020-21
46.0,Jonas Valanciunas,MEM,62.0,28.3,17.1,7.1,12.0,59.2,0.3,0.9,36.8,2.5,3.3,77.3,4.1,8.4,12.5,1.8,0.6,0.9,1.6,25.6,2020-21
47.0,Bojan Bogdanovic,UTA,72.0,30.8,17.0,5.6,12.8,43.9,2.5,6.4,39.0,3.2,3.7,87.9,0.6,3.3,3.9,1.9,0.6,0.1,1.8,14.1,2020-21
48.0,Tim Hardaway Jr.,DAL,70.0,28.4,16.6,5.8,13.0,44.7,3.0,7.6,39.1,2.0,2.5,81.6,0.3,3.0,3.3,1.8,0.4,0.2,0.9,13.7,2020-21
49.0,Buddy Hield,SAC,71.0,34.3,16.6,5.7,14.0,40.6,4.0,10.2,39.1,1.2,1.5,84.6,0.4,4.3,4.7,3.6,0.9,0.4,1.8,15.8,2020-21
50.0,Chris Paul,PHX,70.0,31.4,16.4,6.3,12.6,49.9,1.5,3.7,39.5,2.4,2.6,93.4,0.4,4.1,4.5,8.9,1.4,0.3,2.2,22.8,2020-21
51.0,Mike Conley,UTA,51.0,29.4,16.2,5.6,12.5,44.4,2.7,6.6,41.2,2.4,2.8,85.2,0.7,2.8,3.5,6.0,1.4,0.2,1.9,17.9,2020-21
52.0,Harrison Barnes,SAC,58.0,36.2,16.1,5.5,11.1,49.7,1.7,4.4,39.1,3.4,4.1,83.0,1.1,5.5,6.6,3.5,0.7,0.2,1.6,19.3,2020-21
53.0,LaMelo Ball,CHA,51.0,28.8,15.7,5.7,13.2,43.6,1.8,5.1,35.2,2.5,3.2,75.8,1.2,4.7,5.9,6.1,1.6,0.4,2.8,18.7,2020-21
54.0,Dejounte Murray,SAS,67.0,31.9,15.7,6.6,14.5,45.3,0.9,3.0,31.7,1.6,2.0,79.1,0.9,6.2,7.1,5.4,1.5,0.1,1.7,19.7,2020-21
55.0,Kelly Oubre Jr.,GSW,55.0,30.7,15.4,5.8,13.2,43.9,1.6,5.2,31.6,2.2,3.2,69.5,1.5,4.5,6.0,1.3,1.0,0.8,1.3,14.9,2020-21
56.0,Dennis Schroder,LAL,61.0,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4.0,84.8,0.5,3.0,3.5,5.8,1.1,0.2,2.7,15.7,2020-21
57.0,Gary Trent Jr.,TOR,58.0,31.1,15.3,5.5,13.5,40.8,2.8,7.4,38.5,1.4,1.8,78.3,0.5,2.2,2.6,1.4,1.0,0.2,0.7,11.3,2020-21
58.0,Clint Capela,ATL,63.0,30.1,15.2,6.6,11.0,59.4,0.0,0.0,0.0,2.1,3.6,57.3,4.7,9.6,14.3,0.8,0.7,2.0,1.2,25.9,2020-21
59.0,Tyler Herro,MIA,54.0,30.3,15.1,5.7,12.9,43.9,2.0,5.5,36.0,1.7,2.2,80.3,0.5,4.5,5.0,3.4,0.6,0.3,1.9,14.9,2020-21
60.0,Coby White,CHI,69.0,31.2,15.1,5.4,13.1,41.6,2.4,6.6,35.9,1.9,2.1,90.1,0.4,3.7,4.1,4.8,0.6,0.2,2.3,14.6,2020-21
61.0,Devonte' Graham,CHA,55.0,30.2,14.8,4.6,12.2,37.7,3.3,8.7,37.5,2.4,2.9,84.2,0.4,2.3,2.7,5.4,0.9,0.1,1.5,14.3,2020-21
62.0,Lonzo Ball,NOP,55.0,31.8,14.6,5.3,12.7,41.4,3.1,8.3,37.8,0.9,1.2,78.1,0.6,4.2,4.8,5.7,1.5,0.6,2.2,17.2,2020-21
63.0,Kendrick Nunn,MIA,56.0,29.5,14.6,5.7,11.8,48.5,2.2,5.7,38.1,1.0,1.1,93.3,0.4,2.8,3.2,2.6,0.9,0.3,1.4,14.0,2020-21
64.0,Deandre Ayton,PHX,69.0,30.7,14.4,6.2,10.0,62.6,0.1,0.3,20.0,1.9,2.5,76.9,3.3,7.2,10.5,1.4,0.6,1.2,1.5,22.4,2020-21
65.0,Rudy Gobert,UTA,71.0,30.8,14.3,5.5,8.2,67.5,0.0,0.1,0.0,3.3,5.3,62.3,3.4,10.1,13.5,1.3,0.6,2.7,1.7,26.0,2020-21
66.0,Ben Simmons,PHI,58.0,32.4,14.3,5.6,10.1,55.7,0.1,0.2,30.0,3.0,4.9,61.3,1.6,5.6,7.2,6.9,1.6,0.6,3.0,21.3,2020-21
67.0,Richaun Holmes,SAC,61.0,29.2,14.2,6.0,9.4,63.7,0.0,0.2,18.2,2.2,2.8,79.4,2.4,5.9,8.3,1.7,0.6,1.6,1.2,21.1,2020-21
68.0,Joe Harris,BKN,69.0,31.0,14.1,5.2,10.2,50.5,3.1,6.4,47.5,0.7,0.9,77.8,0.6,3.0,3.6,1.9,0.7,0.2,0.9,14.3,2020-21
69.0,Luguentz Dort,OKC,52.0,29.7,14.0,4.8,12.3,38.7,2.2,6.3,34.3,2.3,3.2,74.4,0.7,2.9,3.6,1.7,0.9,0.4,1.5,10.7,2020-21
70.0,Rui Hachimura,WAS,57.0,31.5,13.8,5.4,11.4,47.8,0.8,2.4,32.8,2.2,2.8,77.0,0.9,4.6,5.5,1.4,0.8,0.1,1.2,13.9,2020-21
71.0,Darius Bazley,OKC,55.0,31.2,13.7,5.0,12.5,39.6,1.5,5.2,29.0,2.3,3.2,70.2,0.9,6.3,7.2,1.8,0.5,0.5,2.2,12.9,2020-21
72.0,Chris Boucher,TOR,60.0,24.2,13.6,4.8,9.3,51.4,1.5,3.9,38.3,2.5,3.2,78.8,2.0,4.8,6.7,1.1,0.6,1.9,0.8,17.9,2020-21
73.0,Lauri Markkanen,CHI,51.0,25.8,13.6,4.9,10.2,48.0,2.3,5.8,40.2,1.5,1.8,82.6,0.7,4.6,5.3,0.9,0.5,0.3,1.0,13.9,2020-21
74.0,Doug McDermott,IND,66.0,24.5,13.6,5.4,10.1,53.2,1.7,4.3,38.8,1.2,1.5,81.6,0.9,2.4,3.3,1.3,0.3,0.1,0.8,12.9,2020-21
75.0,Kelly Olynyk,HOU,70.0,28.5,13.5,4.8,10.0,48.4,1.8,5.3,34.2,2.1,2.5,82.9,1.2,5.7,7.0,2.9,1.1,0.6,1.8,17.7,2020-21
76.0,Montrezl Harrell,LAL,69.0,22.9,13.5,5.4,8.7,62.2,0.0,0.1,0.0,2.6,3.7,70.7,2.3,3.9,6.2,1.1,0.7,0.7,1.1,16.7,2020-21
77.0,Mikal Bridges,PHX,72.0,32.6,13.5,5.0,9.3,54.3,1.9,4.4,42.5,1.5,1.8,84.0,1.1,3.2,4.3,2.1,1.1,0.9,0.8,16.5,2020-21
78.0,Marcus Morris Sr.,LAC,57.0,26.4,13.4,4.8,10.2,47.3,2.5,5.2,47.3,1.3,1.6,82.0,0.6,3.5,4.1,1.0,0.6,0.3,1.0,12.7,2020-21
79.0,Carmelo Anthony,POR,69.0,24.5,13.4,4.7,11.3,42.1,1.9,4.7,40.9,2.0,2.2,89.0,0.5,2.6,3.1,1.5,0.7,0.6,0.9,11.6,2020-21
80.0,Josh Jackson,DET,62.0,25.2,13.4,4.8,11.4,41.9,1.2,4.1,30.0,2.6,3.5,72.9,0.9,3.2,4.1,2.3,0.9,0.8,2.3,11.5,2020-21
81.0,Danilo Gallinari,ATL,51.0,24.0,13.3,4.0,9.3,43.4,2.0,5.0,40.6,3.2,3.4,92.5,0.3,3.8,4.1,1.5,0.6,0.2,0.8,13.3,2020-21
82.0,Duncan Robinson,MIA,72.0,31.4,13.1,4.4,10.0,43.9,3.5,8.5,40.8,0.9,1.0,82.7,0.1,3.4,3.5,1.8,0.6,0.3,1.1,12.3,2020-21
83.0,Tyrese Haliburton,SAC,58.0,30.1,13.0,5.0,10.7,47.2,2.1,5.1,40.9,0.8,1.0,85.7,0.7,2.3,3.0,5.3,1.3,0.5,1.6,15.7,2020-21
84.0,Shake Milton,PHI,63.0,23.2,13.0,4.8,10.6,45.0,1.1,3.2,35.0,2.3,2.8,83.0,0.5,1.8,2.3,3.1,0.6,0.3,1.6,11.3,2020-21
85.0,P.J. Washington,CHA,64.0,30.5,12.9,4.7,10.7,44.0,1.8,4.5,38.6,1.7,2.3,74.5,1.5,5.1,6.5,2.5,1.1,1.2,2.0,15.7,2020-21
86.0,Kyle Kuzma,LAL,68.0,28.7,12.9,4.9,11.1,44.3,2.0,5.6,36.1,1.0,1.4,69.1,1.6,4.5,6.1,1.9,0.5,0.6,1.7,13.7,2020-21
87.0,Jarrett Allen,CLE,63.0,29.6,12.8,4.7,7.7,61.8,0.1,0.3,31.6,3.2,4.6,70.3,3.1,6.9,10.0,1.7,0.5,1.4,1.6,20.6,2020-21
88.0,Keldon Johnson,SAS,69.0,28.5,12.8,4.9,10.2,47.9,0.9,2.6,33.1,2.1,2.8,74.0,1.3,4.6,6.0,1.8,0.6,0.3,1.1,14.2,2020-21
89.0,Miles Bridges,CHA,66.0,29.3,12.7,4.7,9.4,50.3,1.8,4.4,40.0,1.5,1.7,86.7,1.2,4.8,6.0,2.2,0.7,0.8,1.6,15.9,2020-21
90.0,Will Barton,DEN,56.0,31.0,12.7,4.6,10.9,42.6,1.8,4.6,38.1,1.7,2.2,78.5,0.7,3.3,4.0,3.2,0.9,0.4,1.7,12.9,2020-21
91.0,Jalen Brunson,DAL,68.0,25.0,12.6,4.8,9.2,52.3,1.2,2.9,40.5,1.8,2.2,79.5,0.4,3.0,3.4,3.5,0.5,0.0,1.2,14.0,2020-21
92.0,Seth Curry,PHI,57.0,28.7,12.5,4.5,9.7,46.7,2.2,4.9,45.0,1.2,1.4,89.6,0.2,2.2,2.4,2.7,0.8,0.1,1.1,12.1,2020-21
93.0,Kyle Anderson,MEM,69.0,27.3,12.4,4.5,9.5,46.8,1.4,3.8,36.0,2.1,2.7,78.3,0.8,5.0,5.7,3.6,1.2,0.8,1.2,16.9,2020-21
94.0,Brook Lopez,MIL,70.0,27.2,12.3,4.6,9.1,50.3,1.4,4.0,33.8,1.7,2.0,84.5,1.5,3.5,5.0,0.7,0.6,1.5,0.9,14.2,2020-21
95.0,Saddiq Bey,DET,70.0,27.3,12.2,4.0,9.9,40.4,2.5,6.6,38.0,1.8,2.1,84.4,0.6,3.9,4.5,1.4,0.7,0.2,0.9,12.0,2020-21
96.0,Eric Bledsoe,NOP,71.0,29.7,12.2,4.3,10.3,42.1,1.7,5.0,34.1,1.9,2.7,68.7,0.4,3.0,3.4,3.8,0.8,0.3,1.6,12.1,2020-21
97.0,Josh Richardson,DAL,59.0,30.3,12.1,4.5,10.5,42.7,1.5,4.5,33.0,1.7,1.8,91.7,0.9,2.4,3.3,2.6,1.0,0.4,1.3,12.0,2020-21
98.0,Thaddeus Young,CHI,68.0,24.3,12.1,5.4,9.7,55.9,0.2,0.7,26.7,1.0,1.7,62.8,2.5,3.8,6.2,4.3,1.1,0.6,2.0,17.4,2020-21
99.0,Joe Ingles,UTA,67.0,27.9,12.1,4.1,8.4,48.9,2.7,6.1,45.1,1.1,1.3,84.4,0.4,3.2,3.6,4.7,0.7,0.2,1.7,15.1,2020-21
100.0,Jordan Poole,GSW,51.0,19.4,12.0,4.0,9.3,43.2,1.9,5.4,35.1,2.1,2.3,88.2,0.3,1.5,1.8,1.9,0.5,0.2,1.0,9.9,2020-21
101.0,Kevin Huerter,ATL,69.0,30.8,11.9,4.6,10.6,43.2,2.0,5.6,36.3,0.7,0.9,78.1,0.6,2.8,3.3,3.5,1.2,0.3,1.1,12.8,2020-21
102.0,Hamidou Diallo,DET,52.0,23.6,11.6,4.3,9.0,47.7,0.5,1.6,34.1,2.5,3.8,64.0,1.1,4.1,5.2,1.9,0.8,0.5,1.5,12.5,2020-21
103.0,Davis Bertans,WAS,57.0,25.7,11.5,3.4,8.4,40.4,3.0,7.5,39.5,1.8,2.0,87.0,0.3,2.6,2.9,0.9,0.6,0.2,0.6,10.3,2020-21
104.0,Bobby Portis,MIL,66.0,20.8,11.4,4.7,9.1,52.3,1.1,2.4,47.1,0.8,1.1,74.0,1.9,5.2,7.1,1.1,0.8,0.4,0.8,15.3,2020-21
105.0,Immanuel Quickley,NYK,64.0,19.4,11.4,3.6,9.1,39.5,1.8,4.7,38.9,2.4,2.7,89.1,0.4,1.8,2.1,2.0,0.5,0.2,0.9,9.5,2020-21
106.0,Rudy Gay,SAS,63.0,21.6,11.4,4.2,10.0,42.0,1.7,4.4,38.1,1.3,1.6,80.4,0.7,4.1,4.8,1.4,0.7,0.6,1.0,11.8,2020-21
107.0,Lou Williams,ATL,66.0,21.6,11.3,4.0,9.8,41.0,1.0,2.6,39.9,2.3,2.6,86.7,0.3,1.8,2.1,3.4,0.7,0.1,1.6,9.9,2020-21
108.0,Jae'Sean Tate,HOU,70.0,29.2,11.3,4.5,8.9,50.6,0.9,2.8,30.8,1.5,2.1,69.4,1.9,3.5,5.3,2.5,1.2,0.5,1.4,14.5,2020-21
109.0,Wendell Carter Jr.,ORL,54.0,25.5,11.2,4.3,8.5,50.3,0.3,0.9,29.4,2.4,3.3,73.2,2.4,5.8,8.2,1.9,0.6,0.8,1.4,16.2,2020-21
110.0,Naz Reid,MIN,70.0,19.2,11.2,4.3,8.3,52.3,0.9,2.5,35.1,1.6,2.4,69.3,1.2,3.4,4.6,1.0,0.5,1.1,1.0,12.7,2020-21
111.0,Enes Freedom,POR,72.0,24.4,11.2,4.7,7.8,60.4,0.0,0.1,25.0,1.8,2.3,77.4,3.9,7.1,11.0,1.2,0.5,0.7,1.1,19.8,2020-21
112.0,Lonnie Walker IV,SAS,60.0,25.4,11.2,4.3,10.2,42.0,1.7,4.7,35.5,1.0,1.2,81.4,0.2,2.4,2.6,1.7,0.5,0.3,1.1,9.0,2020-21
113.0,Jeff Green,BKN,68.0,27.0,11.0,3.8,7.8,49.2,1.5,3.7,41.2,1.8,2.4,77.6,0.5,3.4,3.9,1.6,0.5,0.4,0.8,12.1,2020-21
114.0,Dwayne Bacon,ORL,72.0,25.7,10.9,4.1,10.1,40.2,0.8,2.9,28.5,2.0,2.4,82.4,0.4,2.7,3.1,1.3,0.6,0.1,0.6,8.9,2020-21
115.0,Reggie Bullock Jr.,NYK,65.0,30.0,10.9,3.8,8.6,44.2,2.5,6.1,41.0,0.8,0.8,90.9,0.2,3.2,3.4,1.5,0.8,0.2,0.7,11.2,2020-21
116.0,Patty Mills,SAS,68.0,24.8,10.8,3.7,9.0,41.2,2.4,6.3,37.5,1.0,1.1,91.0,0.3,1.4,1.7,2.4,0.6,0.0,1.0,9.2,2020-21
117.0,Reggie Jackson,LAC,67.0,23.0,10.7,3.9,8.7,45.0,1.8,4.2,43.3,1.0,1.2,81.7,0.4,2.5,2.9,3.1,0.6,0.1,1.1,11.2,2020-21
