#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,SEASON
125.0,Tyus Jones,MEM,80.0,24.2,10.3,3.9,8.9,43.8,1.5,4.1,37.1,1.0,1.3,80.0,0.4,2.2,2.5,5.2,1.0,0.1,0.9,13.0,2022-23
126.0,Monte Morris,WAS,62.0,27.4,10.3,4.0,8.3,48.0,1.3,3.3,38.2,1.0,1.2,83.1,0.4,3.0,3.4,5.3,0.7,0.2,1.0,14.3,2022-23
127.0,Doug McDermott,SAS,64.0,20.5,10.2,3.7,8.2,45.7,1.9,4.7,41.3,0.8,1.1,75.7,0.4,1.8,2.2,1.4,0.2,0.1,0.9,8.5,2022-23
128.0,Malaki Branham,SAS,66.0,23.5,10.2,4.1,9.3,44.0,1.2,3.9,30.2,0.9,1.1,82.9,0.4,2.3,2.7,1.9,0.5,0.1,1.2,9.0,2022-23
129.0,Reggie Jackson,DEN,68.0,24.4,10.2,3.9,9.4,41.1,1.4,4.2,33.3,1.0,1.1,91.0,0.4,1.8,2.1,3.4,0.7,0.1,1.7,9.2,2022-23
130.0,Patrick Williams,CHI,82.0,28.3,10.2,3.8,8.3,46.4,1.4,3.4,41.5,1.1,1.3,85.7,1.0,3.0,4.0,1.2,0.9,0.9,1.2,11.3,2022-23
131.0,De'Anthony Melton,PHI,77.0,27.9,10.1,3.6,8.5,42.5,2.0,5.2,39.0,0.9,1.1,79.3,0.9,3.2,4.1,2.6,1.6,0.5,1.3,12.5,2022-23
132.0,Aaron Nesmith,IND,73.0,24.9,10.1,3.5,8.1,42.7,1.6,4.3,36.6,1.6,1.9,83.8,0.8,2.9,3.8,1.3,0.8,0.5,1.0,10.5,2022-23
133.0,Josh Richardson,NOP,65.0,23.5,10.1,3.7,8.5,43.1,1.6,4.5,36.5,1.1,1.2,85.2,0.6,2.1,2.7,2.7,1.1,0.3,1.3,10.4,2022-23
134.0,Jonathan Kuminga,GSW,67.0,20.8,9.9,3.9,7.4,52.5,0.8,2.2,37.0,1.3,2.1,65.2,1.0,2.4,3.4,1.9,0.6,0.5,1.4,10.7,2022-23
135.0,Onyeka Okongwu,ATL,80.0,23.1,9.9,4.0,6.2,63.8,0.1,0.2,30.8,1.9,2.5,78.1,2.7,4.5,7.2,1.0,0.7,1.3,1.0,16.3,2022-23
136.0,Shaedon Sharpe,POR,80.0,22.2,9.9,3.8,8.1,47.2,1.3,3.5,36.0,0.9,1.3,71.4,0.8,2.2,3.0,1.2,0.5,0.3,1.0,9.1,2022-23
137.0,Herbert Jones,NOP,66.0,29.6,9.8,3.6,7.6,46.9,0.8,2.5,33.5,1.9,2.4,76.4,1.5,2.6,4.1,2.5,1.6,0.6,1.3,12.6,2022-23
138.0,Thomas Bryant,DEN,59.0,18.3,9.8,3.9,6.3,62.3,0.4,1.0,44.1,1.6,2.1,73.8,1.5,4.3,5.7,0.5,0.3,0.5,0.6,13.3,2022-23
139.0,Al Horford,BOS,63.0,30.5,9.8,3.6,7.6,47.6,2.3,5.2,44.6,0.2,0.3,71.4,1.2,5.0,6.2,3.0,0.5,1.0,0.6,15.7,2022-23
140.0,Josh Hart,NYK,76.0,32.3,9.8,3.6,6.8,52.9,0.8,2.2,37.2,1.7,2.3,75.0,1.9,5.9,7.8,3.8,1.2,0.3,1.5,17.5,2022-23
141.0,Coby White,CHI,74.0,23.4,9.7,3.6,8.0,44.3,1.7,4.6,37.2,0.8,0.9,87.1,0.2,2.6,2.9,2.8,0.7,0.1,1.0,10.5,2022-23
142.0,Keita Bates-Diop,SAS,67.0,21.7,9.7,3.5,6.9,50.8,0.8,2.1,39.4,1.8,2.2,79.3,1.0,2.7,3.7,1.5,0.7,0.3,0.8,11.2,2022-23
143.0,Caleb Martin,MIA,71.0,29.3,9.6,3.6,7.7,46.4,1.2,3.3,35.6,1.3,1.6,80.5,1.2,3.6,4.8,1.6,1.0,0.4,1.1,12.0,2022-23
144.0,Isaiah Joe,OKC,73.0,19.1,9.5,3.1,7.0,44.1,2.2,5.4,40.9,1.1,1.4,82.0,0.4,2.0,2.4,1.2,0.7,0.1,0.5,9.2,2022-23
145.0,Andrew Nembhard,IND,75.0,27.7,9.5,3.8,8.6,44.1,1.2,3.5,35.0,0.7,0.8,79.0,0.5,2.2,2.7,4.5,0.9,0.2,1.7,11.1,2022-23
146.0,Jalen Smith,IND,68.0,18.8,9.4,3.6,7.5,47.6,0.8,2.8,28.3,1.5,2.0,75.9,1.9,3.9,5.8,1.0,0.3,0.9,1.1,11.9,2022-23
147.0,Jalen McDaniels,PHI,80.0,23.9,9.4,3.5,7.7,45.5,1.0,2.9,33.2,1.5,1.7,84.1,0.8,3.5,4.3,1.6,1.0,0.4,1.2,11.2,2022-23
148.0,Gabe Vincent,MIA,68.0,25.9,9.4,3.4,8.3,40.2,1.7,5.1,33.4,1.0,1.1,87.2,0.4,1.7,2.1,2.5,0.9,0.1,1.4,8.5,2022-23
149.0,Donte DiVincenzo,GSW,72.0,26.3,9.4,3.3,7.5,43.5,2.1,5.3,39.7,0.8,1.0,81.7,1.1,3.4,4.5,3.5,1.3,0.1,1.6,12.9,2022-23
150.0,Kyle Anderson,MIN,69.0,28.4,9.4,3.7,7.2,50.9,0.6,1.5,41.0,1.4,2.0,73.5,1.0,4.4,5.3,4.9,1.1,0.9,1.5,16.1,2022-23
151.0,Chris Boucher,TOR,76.0,20.0,9.4,3.4,7.0,49.3,0.8,2.5,32.8,1.7,2.2,76.2,2.1,3.5,5.5,0.4,0.6,0.8,0.5,12.2,2022-23
152.0,Tari Eason,HOU,82.0,21.5,9.3,3.6,8.0,44.8,0.7,2.1,34.3,1.3,1.8,75.2,2.4,3.7,6.0,1.1,1.2,0.6,1.2,12.0,2022-23
153.0,Luke Kennard,MEM,59.0,22.3,9.3,3.2,6.5,49.2,2.3,4.6,49.4,0.6,0.7,94.9,0.3,2.4,2.7,1.5,0.5,0.1,0.8,10.0,2022-23
154.0,Seth Curry,BKN,61.0,19.9,9.2,3.4,7.4,46.3,1.5,3.8,40.5,0.8,0.9,92.7,0.2,1.4,1.6,1.6,0.6,0.1,0.8,8.3,2022-23
155.0,Walker Kessler,UTA,74.0,23.0,9.2,4.0,5.6,72.0,0.0,0.0,33.3,1.1,2.1,51.6,3.1,5.3,8.4,0.9,0.4,2.3,0.8,17.8,2022-23
156.0,Deni Avdija,WAS,76.0,26.6,9.2,3.3,7.6,43.7,0.9,3.1,29.7,1.6,2.2,73.9,1.0,5.4,6.4,2.8,0.9,0.4,1.6,13.1,2022-23
157.0,Jalen Duren,DET,67.0,24.9,9.1,3.9,5.9,64.8,0.0,0.0,0.0,1.4,2.3,61.1,3.4,5.5,8.9,1.1,0.7,0.9,1.4,16.3,2022-23
158.0,Josh Green,DAL,60.0,25.7,9.1,3.4,6.4,53.7,1.1,2.8,40.2,1.1,1.6,72.3,0.9,2.1,3.0,1.7,0.7,0.1,1.2,10.1,2022-23
159.0,Naji Marshall,NOP,77.0,23.3,9.1,3.2,7.4,43.3,0.9,2.8,30.3,1.8,2.3,78.9,0.6,3.0,3.6,2.5,0.7,0.2,1.3,10.1,2022-23
160.0,Bol Bol,ORL,70.0,21.5,9.1,3.7,6.8,54.6,0.4,1.6,26.5,1.2,1.5,75.9,1.0,4.8,5.8,1.0,0.4,1.2,1.6,12.4,2022-23
161.0,Santi Aldama,MEM,77.0,21.8,9.0,3.2,6.8,47.0,1.2,3.5,35.3,1.4,1.9,75.0,1.1,3.7,4.8,1.3,0.6,0.6,0.8,11.5,2022-23
162.0,Daniel Gafford,WAS,78.0,20.6,9.0,3.7,5.1,73.2,0.0,0.0,0.0,1.6,2.4,67.9,2.1,3.5,5.6,1.1,0.4,1.3,1.1,14.1,2022-23
163.0,Jose Alvarado,NOP,61.0,21.5,9.0,3.3,8.0,41.1,1.4,4.0,33.6,1.1,1.3,81.3,0.5,1.9,2.3,3.0,1.1,0.2,1.3,9.3,2022-23
164.0,AJ Griffin,ATL,72.0,19.5,8.9,3.4,7.4,46.5,1.4,3.6,39.0,0.6,0.7,89.4,0.5,1.6,2.1,1.0,0.6,0.2,0.6,8.2,2022-23
165.0,Royce O'Neale,BKN,76.0,31.7,8.8,3.0,7.8,38.6,2.1,5.5,38.9,0.7,0.9,72.5,0.7,4.3,5.1,3.7,0.9,0.6,1.5,12.6,2022-23
166.0,Terance Mann,LAC,81.0,23.1,8.8,3.4,6.5,51.9,1.0,2.4,38.9,1.1,1.5,78.0,1.0,2.5,3.4,2.3,0.5,0.3,1.0,10.9,2022-23
167.0,Jordan Nwora,IND,62.0,19.2,8.7,3.1,7.2,43.6,1.4,3.4,40.8,1.1,1.4,79.1,0.8,2.9,3.7,1.4,0.4,0.2,1.1,9.1,2022-23
168.0,Cedi Osman,CLE,77.0,20.1,8.7,3.1,6.9,45.1,1.5,4.1,37.2,1.0,1.4,69.4,0.3,2.0,2.3,1.5,0.5,0.1,0.7,8.2,2022-23
169.0,T.J. McConnell,IND,75.0,20.3,8.7,3.8,6.9,54.3,0.3,0.8,44.1,0.8,0.9,85.3,0.6,2.5,3.1,5.3,1.1,0.1,1.9,13.1,2022-23
170.0,Ayo Dosunmu,CHI,80.0,26.2,8.6,3.5,7.1,49.3,0.7,2.4,31.2,0.8,1.0,80.5,0.6,2.2,2.8,2.6,0.8,0.3,1.2,10.0,2022-23
171.0,Draymond Green,GSW,73.0,31.5,8.5,3.4,6.5,52.7,0.5,1.8,30.5,1.1,1.5,71.3,0.9,6.3,7.2,6.8,1.0,0.8,2.8,18.0,2022-23
172.0,Shake Milton,PHI,76.0,20.6,8.4,3.2,6.6,47.9,0.7,1.9,37.8,1.3,1.5,85.3,0.5,2.0,2.5,3.2,0.3,0.2,1.2,9.6,2022-23
173.0,Dorian Finney-Smith,BKN,66.0,30.4,8.3,3.0,7.6,39.1,1.7,5.1,33.7,0.7,0.9,76.3,1.7,3.1,4.8,1.5,0.8,0.5,0.9,10.3,2022-23
174.0,Terrence Ross,PHX,63.0,21.1,8.3,3.2,7.4,43.0,1.5,4.1,36.8,0.4,0.5,79.4,0.3,2.1,2.4,1.5,0.6,0.2,0.7,8.0,2022-23
175.0,Kevin Love,MIA,62.0,20.0,8.2,2.7,6.8,38.9,1.6,4.8,33.4,1.3,1.5,87.9,1.0,5.5,6.4,1.9,0.3,0.2,1.1,11.5,2022-23
176.0,Nick Richards,CHA,65.0,18.7,8.2,3.0,4.8,62.9,0.0,0.0,100.0,2.1,2.8,74.9,2.3,4.1,6.4,0.6,0.2,1.1,0.9,13.0,2022-23
177.0,Georges Niang,PHI,78.0,19.4,8.2,2.8,6.4,44.2,2.0,4.9,40.1,0.5,0.6,86.7,0.2,2.1,2.4,1.0,0.4,0.2,0.7,7.7,2022-23
178.0,Damion Lee,PHX,74.0,20.4,8.2,2.7,6.1,44.2,1.5,3.3,44.5,1.3,1.4,90.4,0.5,2.5,3.0,1.3,0.4,0.1,1.1,8.4,2022-23
179.0,Grant Williams,BOS,79.0,25.9,8.1,2.7,6.0,45.4,1.5,3.7,39.5,1.2,1.5,77.0,1.1,3.5,4.6,1.7,0.5,0.4,1.0,10.6,2022-23
180.0,Jevon Carter,MIL,81.0,22.4,8.0,3.0,7.0,42.3,1.8,4.2,42.1,0.4,0.5,81.6,0.4,2.1,2.5,2.4,0.8,0.4,1.0,9.1,2022-23
181.0,Jarred Vanderbilt,LAL,78.0,24.1,7.9,3.2,5.8,54.8,0.4,1.2,32.2,1.2,1.8,69.1,2.2,5.3,7.5,2.4,1.1,0.3,1.2,14.7,2022-23
182.0,Ochai Agbaji,UTA,59.0,20.5,7.9,2.8,6.5,42.7,1.4,3.9,35.5,0.9,1.2,81.2,0.7,1.3,2.1,1.1,0.3,0.3,0.7,7.0,2022-23
183.0,Tre Mann,OKC,67.0,17.7,7.7,2.9,7.5,39.3,1.2,3.8,31.5,0.6,0.8,76.4,0.4,1.9,2.3,1.8,0.6,0.2,0.9,6.9,2022-23
184.0,Pat Connaughton,MIL,61.0,23.7,7.6,2.7,6.9,39.2,1.8,5.3,33.9,0.4,0.7,65.9,0.8,3.8,4.6,1.3,0.6,0.2,0.5,9.4,2022-23
185.0,Joe Harris,BKN,74.0,20.6,7.6,2.7,5.9,45.7,1.9,4.5,42.6,0.2,0.4,64.3,0.3,1.9,2.2,1.4,0.5,0.2,0.6,7.9,2022-23
185.0,Trey Lyles,SAC,74.0,16.9,7.6,2.5,5.5,45.8,1.2,3.2,36.3,1.4,1.7,81.5,0.9,3.1,4.1,0.9,0.4,0.4,0.9,9.2,2022-23
187.0,Torrey Craig,PHX,79.0,24.7,7.4,2.9,6.3,45.6,1.3,3.2,39.5,0.4,0.6,71.1,1.8,3.6,5.4,1.5,0.6,0.8,0.9,11.2,2022-23
188.0,Obi Toppin,NYK,67.0,15.7,7.4,2.8,6.3,44.6,1.3,3.7,34.4,0.6,0.7,80.9,0.4,2.4,2.8,1.0,0.3,0.2,0.6,7.6,2022-23
189.0,Trendon Watford,POR,62.0,19.1,7.4,2.9,5.2,56.0,0.4,1.0,39.1,1.2,1.6,72.0,0.7,3.2,3.8,2.1,0.5,0.2,1.1,10.2,2022-23
190.0,Devonte' Graham,SAS,73.0,18.3,7.4,2.2,5.9,37.4,1.6,4.6,35.2,1.3,1.8,74.8,0.3,1.4,1.7,2.7,0.6,0.2,0.7,7.7,2022-23
191.0,Mitchell Robinson,NYK,59.0,26.9,7.4,3.2,4.7,67.1,0.0,0.0,0.0,1.0,2.1,48.4,4.5,4.9,9.4,0.9,0.9,1.8,0.7,17.2,2022-23
192.0,Josh Okogie,PHX,72.0,18.8,7.3,2.3,5.8,39.1,0.9,2.7,33.5,1.9,2.7,72.4,1.5,2.0,3.5,1.5,0.8,0.5,0.9,8.4,2022-23
193.0,Isaiah Jackson,IND,63.0,16.5,7.2,2.8,5.0,56.3,0.0,0.2,14.3,1.5,2.3,65.1,1.8,2.7,4.5,0.8,0.5,1.5,0.8,10.7,2022-23
194.0,Reggie Bullock Jr.,DAL,78.0,30.3,7.2,2.5,6.0,40.9,1.9,5.1,38.0,0.3,0.5,70.3,0.4,3.2,3.6,1.4,0.7,0.2,0.5,8.9,2022-23
195.0,Troy Brown Jr.,LAL,76.0,24.5,7.1,2.6,6.1,43.0,1.4,3.7,38.1,0.4,0.5,87.2,0.8,3.2,4.1,1.3,0.8,0.2,0.6,9.2,2022-23
196.0,Kendrick Nunn,WAS,70.0,13.8,7.1,2.7,6.4,42.4,1.1,3.2,35.4,0.5,0.6,85.4,0.2,1.3,1.6,1.3,0.4,0.1,0.9,5.7,2022-23
197.0,Kevon Looney,GSW,82.0,23.9,7.0,3.0,4.7,63.0,0.0,0.0,0.0,1.1,1.9,60.6,3.3,5.9,9.3,2.5,0.6,0.6,0.5,17.1,2022-23
198.0,Xavier Tillman,MEM,61.0,19.3,7.0,3.1,5.0,61.4,0.1,0.2,26.7,0.8,1.5,55.1,2.0,3.0,5.0,1.6,1.0,0.5,0.7,11.8,2022-23
199.0,Cory Joseph,DET,62.0,19.8,6.9,2.4,5.7,42.7,1.1,2.9,38.9,0.9,1.2,79.2,0.3,1.4,1.7,3.5,0.5,0.1,0.9,8.4,2022-23
200.0,Aaron Wiggins,OKC,70.0,18.5,6.8,2.7,5.2,51.2,0.7,1.7,39.3,0.8,1.0,83.1,1.0,2.0,3.0,1.1,0.6,0.2,0.8,8.3,2022-23
201.0,Larry Nance Jr.,NOP,65.0,21.2,6.8,2.9,4.7,61.0,0.2,0.6,33.3,0.8,1.2,69.6,1.6,3.8,5.4,1.8,0.9,0.6,0.6,12.6,2022-23
202.0,Terence Davis,SAC,64.0,13.1,6.7,2.4,5.7,42.3,1.4,3.8,36.6,0.5,0.7,79.1,0.3,1.9,2.2,1.0,0.7,0.2,0.8,6.6,2022-23
203.0,Anthony Lamb,GSW,62.0,19.3,6.7,2.4,5.1,47.1,1.2,3.2,36.7,0.7,1.0,76.7,0.9,2.6,3.5,1.5,0.5,0.3,0.9,8.7,2022-23
204.0,Dwight Powell,DAL,76.0,19.2,6.7,2.6,3.5,73.2,0.0,0.1,0.0,1.5,2.2,66.7,2.0,2.2,4.1,0.9,0.6,0.3,0.9,10.1,2022-23
205.0,David Roddy,MEM,70.0,18.0,6.7,2.6,6.0,42.9,0.9,3.0,30.7,0.6,0.9,63.1,0.7,2.0,2.8,0.8,0.4,0.3,0.8,6.4,2022-23
206.0,Drew Eubanks,POR,78.0,20.3,6.6,2.7,4.3,64.1,0.1,0.2,38.9,1.1,1.6,66.4,1.7,3.7,5.4,1.3,0.5,1.3,0.9,12.2,2022-23
207.0,Jock Landale,PHX,69.0,14.2,6.6,2.6,4.9,52.8,0.3,1.2,25.0,1.1,1.5,75.2,1.7,2.3,4.1,1.0,0.2,0.4,0.9,8.8,2022-23
208.0,Kevin Knox II,POR,63.0,15.1,6.6,2.4,5.3,45.8,1.0,3.0,34.9,0.7,1.0,76.7,0.5,2.3,2.8,0.5,0.4,0.2,0.8,6.6,2022-23
209.0,Jordan Goodwin,WAS,62.0,17.8,6.6,2.5,5.7,44.8,0.6,1.9,32.2,0.9,1.1,76.8,0.9,2.4,3.3,2.7,0.9,0.4,0.9,9.6,2022-23
210.0,Isaac Okoro,CLE,76.0,21.8,6.4,2.3,4.7,49.4,0.8,2.3,36.3,1.0,1.4,75.7,0.7,1.8,2.5,1.1,0.7,0.4,0.6,7.9,2022-23
211.0,Sam Hauser,BOS,80.0,16.1,6.4,2.3,5.0,45.5,1.8,4.2,41.8,0.2,0.2,70.6,0.4,2.1,2.6,0.9,0.4,0.3,0.4,7.3,2022-23
212.0,Goran Dragic,MIL,58.0,15.0,6.3,2.4,5.8,42.1,0.9,2.5,35.9,0.5,0.8,68.9,0.3,1.1,1.4,2.6,0.2,0.1,1.1,5.9,2022-23
213.0,Patrick Beverley,CHI,67.0,27.1,6.2,2.1,5.4,40.0,1.2,3.6,33.5,0.7,1.0,72.3,0.7,3.0,3.7,2.9,0.9,0.6,0.9,9.9,2022-23
214.0,Nickeil Alexander-Walker,MIN,59.0,15.0,6.2,2.2,5.0,44.4,1.0,2.7,38.4,0.7,1.0,66.7,0.3,1.5,1.7,1.8,0.5,0.4,0.9,6.5,2022-23
215.0,Nicolas Batum,LAC,78.0,21.9,6.1,2.1,4.9,42.0,1.6,4.1,39.1,0.4,0.6,70.8,0.8,3.0,3.8,1.6,0.7,0.6,0.6,9.1,2022-23
216.0,Oshae Brissett,IND,65.0,16.7,6.1,1.9,4.9,38.6,0.7,2.4,31.0,1.6,2.2,71.7,1.0,2.4,3.4,0.7,0.5,0.2,0.5,6.7,2022-23
217.0,Mike Muscala,BOS,63.0,15.0,6.1,2.1,4.6,44.9,1.3,3.3,39.1,0.6,0.8,76.9,0.6,2.6,3.2,0.8,0.2,0.4,0.4,7.6,2022-23
218.0,Andre Drummond,CHI,67.0,12.7,6.0,2.5,4.1,60.6,0.0,0.0,0.0,1.0,1.9,53.6,2.1,4.6,6.6,0.5,0.7,0.4,1.1,10.6,2022-23
219.0,Josh Christopher,HOU,64.0,12.3,5.8,2.4,5.1,46.5,0.3,1.4,23.6,0.7,0.9,75.0,0.3,0.8,1.1,1.1,0.5,0.2,0.9,4.9,2022-23
220.0,Jalen Johnson,ATL,70.0,14.9,5.6,2.3,4.6,49.1,0.4,1.5,28.8,0.7,1.1,62.8,0.7,3.3,4.0,1.2,0.5,0.5,0.6,8.5,2022-23
221.0,Davion Mitchell,SAC,80.0,18.1,5.6,2.3,5.0,45.4,0.8,2.5,32.0,0.3,0.4,80.6,0.2,1.1,1.3,2.3,0.6,0.2,0.8,6.4,2022-23
222.0,Alex Caruso,CHI,67.0,23.5,5.6,1.9,4.3,45.5,0.8,2.3,36.4,0.9,1.1,80.8,0.6,2.3,2.9,2.9,1.5,0.7,1.1,9.9,2022-23
223.0,Yuta Watanabe,BKN,58.0,16.0,5.6,2.0,4.0,49.1,1.0,2.3,44.4,0.6,0.8,72.3,0.5,1.9,2.4,0.8,0.4,0.3,0.4,6.9,2022-23
224.0,Wenyen Gabriel,LAL,68.0,15.1,5.5,2.3,3.8,59.6,0.1,0.5,27.8,0.8,1.2,61.9,1.7,2.5,4.2,0.5,0.4,0.5,0.7,8.4,2022-23
225.0,Lamar Stevens,CLE,62.0,18.1,5.3,2.1,4.6,44.8,0.5,1.5,31.6,0.6,0.9,70.2,0.8,2.6,3.3,0.5,0.4,0.3,0.4,6.6,2022-23
226.0,John Konchar,MEM,72.0,20.8,5.1,1.9,4.4,43.1,0.8,2.5,33.9,0.4,0.5,77.8,0.9,3.4,4.3,1.4,1.1,0.3,0.5,9.0,2022-23
227.0,Derrick Jones Jr.,CHI,64.0,14.0,5.0,1.8,3.6,50.0,0.4,1.3,33.8,1.0,1.3,73.8,0.9,1.5,2.4,0.5,0.5,0.6,0.4,6.4,2022-23
228.0,Isaiah Hartenstein,NYK,82.0,19.9,5.0,2.1,4.0,53.5,0.1,0.5,21.6,0.6,0.9,67.6,2.5,4.0,6.5,1.2,0.6,0.8,0.8,11.2,2022-23
229.0,Vlatko Cancar,DEN,60.0,14.8,5.0,1.8,3.8,47.6,0.7,1.9,37.4,0.6,0.7,92.7,0.4,1.7,2.1,1.3,0.4,0.2,0.6,6.4,2022-23
230.0,Chimezie Metu,SAC,66.0,10.4,4.9,2.0,3.3,58.9,0.1,0.6,23.7,0.8,1.1,74.0,0.7,2.3,3.0,0.6,0.3,0.3,0.5,7.0,2022-23
231.0,Moses Moody,GSW,63.0,13.0,4.8,1.7,3.6,47.6,0.8,2.1,36.3,0.6,0.8,69.8,0.4,1.2,1.7,0.8,0.3,0.1,0.5,5.0,2022-23
232.0,Christian Braun,DEN,76.0,15.5,4.7,1.9,3.8,49.5,0.4,1.3,35.4,0.5,0.8,62.5,0.6,1.8,2.4,0.8,0.5,0.2,0.5,6.0,2022-23
233.0,Bismack Biyombo,PHX,61.0,14.3,4.3,2.0,3.4,57.8,0.0,0.0,0.0,0.4,1.1,35.7,1.5,2.8,4.3,0.9,0.3,1.4,0.8,8.2,2022-23
234.0,Ish Wainright,PHX,60.0,15.3,4.2,1.4,3.8,37.0,1.0,2.9,32.9,0.4,0.5,83.9,0.8,1.6,2.3,0.9,0.6,0.4,0.4,5.6,2022-23
235.0,Paul Reed,PHI,69.0,10.9,4.2,1.8,3.0,59.3,0.0,0.1,16.7,0.6,0.7,74.5,1.6,2.2,3.8,0.4,0.7,0.7,0.7,7.7,2022-23
236.0,Matisse Thybulle,POR,71.0,16.9,4.1,1.5,3.6,43.5,0.8,2.1,36.5,0.3,0.4,67.9,0.6,1.4,2.0,0.7,1.2,0.5,0.3,6.0,2022-23
237.0,Aaron Holiday,ATL,63.0,13.4,3.9,1.5,3.5,41.8,0.6,1.4,40.9,0.4,0.5,84.4,0.4,0.8,1.2,1.4,0.6,0.2,0.6,4.6,2022-23
238.0,Dyson Daniels,NOP,59.0,17.7,3.8,1.5,3.5,41.8,0.5,1.5,31.4,0.4,0.7,65.0,0.6,2.6,3.2,2.3,0.7,0.2,1.0,7.0,2022-23
239.0,JT Thor,CHA,69.0,14.0,3.8,1.4,3.4,39.9,0.6,1.8,31.7,0.5,0.7,70.2,0.5,1.7,2.2,0.5,0.3,0.3,0.6,4.3,2022-23
240.0,Luke Kornet,BOS,69.0,11.7,3.8,1.6,2.5,66.5,0.0,0.2,23.1,0.5,0.6,82.1,1.2,1.6,2.9,0.8,0.2,0.7,0.4,6.9,2022-23
241.0,P.J. Tucker,PHI,75.0,25.6,3.5,1.3,3.0,42.7,0.7,1.9,39.3,0.3,0.3,82.6,1.3,2.7,3.9,0.8,0.5,0.2,0.6,6.6,2022-23
242.0,Miles McBride,NYK,64.0,11.9,3.5,1.2,3.4,35.8,0.6,2.1,29.9,0.4,0.7,66.7,0.2,0.6,0.8,1.1,0.6,0.1,0.4,3.3,2022-23
243.0,Anthony Gill,WAS,59.0,10.6,3.3,1.2,2.2,53.8,0.1,0.5,13.8,0.8,1.1,73.1,0.6,1.1,1.7,0.6,0.1,0.2,0.3,4.3,2022-23
244.0,Christian Koloko,TOR,58.0,13.8,3.1,1.2,2.6,48.0,0.0,0.2,8.3,0.6,1.0,62.7,1.4,1.5,2.9,0.5,0.4,1.0,0.3,5.9,2022-23
245.0,Usman Garuba,HOU,75.0,12.9,3.0,1.1,2.4,48.6,0.3,0.8,40.7,0.4,0.6,61.7,1.6,2.5,4.1,0.9,0.6,0.4,0.6,6.8,2022-23
